,Unnamed: 0,title,text,rating,final_text,final_title,title_text,year
0,0,excelente reencontro com amigos,"conheço todos, mas o melhor outback de Brasília é o do parkshopping. encontro com os amigos regado a chopp gelado, comida extraordinária costela e arroz tazmania dos deuses, e atendimento espetacular tbm!",1,conheço todos melhor outback brasília parkshopping encontro amigos regado chopp gelado comida extraordinária costela arroz tazmania deuses atendimento espetacular tbm,excelente reencontro amigos,conheço todos melhor outback brasília parkshopping encontro amigos regado chopp gelado comida extraordinária costela arroz tazmania deuses atendimento espetacular tbm excelente reencontro amigos,2020
1,1,Steak com vibe Australiana,"O restaurante Outback Steakhouse do Parkshopping , em Brasília - DF, é o mesmo da rede internacional de mesmo nome,  com a característica principal de oferecer grelhados, massas e acompanhemos ao estilo australiano, ou seja  com uma certa pitada de pimenta, nada assim tão forte...que afaste aqueles que não gostem de pimenta, como é o meu caso,  mas o suficiente para dar o sabor característico da culinária da terra dos cangurus. 
Mas para mim o que chama mesmo a atenção é o ambiente interno, com um clima de  descontração e aconchego, ideal para a reunião de grupos de amigos,  famílias, casais, etc. A decoração com muita madeira,  iluminação com cor na faixa de 3000k e um som ambiente discreto,  garantem essa sensação de conforto aos seus clientes. Para mim os pratos mais conhecidos são também os mais gostosos como, por exemplo o Alice Springs Chicken, o Ribs on The Barbie - costela suína de respeito e a cebola gigante Bloomin' Onion. Eu recomendo!Mais",1,restaurante outback steakhouse parkshopping brasília rede internacional nome característica principal oferecer grelhados massas acompanhemos estilo australiano certa pitada pimenta nada assim tão forte afaste gostem pimenta caso suficiente dar sabor característico culinária terra cangurus mim chama atenção ambiente interno clima descontração aconchego ideal reunião grupos amigos famílias casais etc decoração muita madeira iluminação cor faixa 3000k som ambiente discreto garantem sensação conforto clientes mim pratos conhecidos gostosos exemplo alice springs chicken ribs the barbie costela suína respeito cebola gigante bloomin onion recomendo,steak vibe australiana,restaurante outback steakhouse parkshopping brasília rede internacional nome característica principal oferecer grelhados massas acompanhemos estilo australiano certa pitada pimenta nada assim tão forte afaste gostem pimenta caso suficiente dar sabor característico culinária terra cangurus mim chama atenção ambiente interno clima descontração aconchego ideal reunião grupos amigos famílias casais etc decoração muita madeira iluminação cor faixa 3000k som ambiente discreto garantem sensação conforto clientes mim pratos conhecidos gostosos exemplo alice springs chicken ribs the barbie costela suína respeito cebola gigante bloomin onion recomendo steak vibe australiana,2020
2,2,Péssimo! Garçom empurra taxa que pelo ifood não tem ,"Fiquei totalmente dececionado. Ano passado comi o tal do foundue era muito melhor. O do delivery o queijo é aguado, sem gosto e todos as porções vem muito menos! Fora que, por uma falha de eu não consegui pagar pelo ifood, fui a uma loja...retirar e o garçom, praticamente, nos forçou a adicionar taxa serviço. Ou seja, ainda paguei R$ 10 a mais por um serviço que não teve, pois fui buscar. Péssima experiência. Não comprem!! Se arrependimento matasse de ter gastado grana nesse horrível, fora me jogarem taxa de serviço que não existe! Desrespeito total ! Péssima experiência. Não comprem!! Desrespeito total ! Mesmo quando tudo isso passar, vou fazer questão de ir menos ao outback. Darei prioridade aos restaurantes que passaram por esse momento com empatia aos clientes. Não a uma empresa que você paga caro e ainda o atendente te empurra um serviço não realizado. Pena outback. Você já foi muito melhor.Mais",0,fiquei totalmente dececionado ano passado comi tal foundue melhor delivery queijo aguado gosto todos porções vem menos falha consegui pagar ifood loja retirar garçom praticamente forçou adicionar taxa serviço ainda paguei serviço pois buscar péssima experiência comprem arrependimento matasse ter gastado grana nesse horrível jogarem taxa serviço existe desrespeito total péssima experiência comprem desrespeito total tudo passar vou fazer questão menos outback darei prioridade restaurantes passaram momento empatia clientes empresa paga caro ainda atendente empurra serviço realizado pena outback melhor,péssimo garçom empurra taxa ifood,fiquei totalmente dececionado ano passado comi tal foundue melhor delivery queijo aguado gosto todos porções vem menos falha consegui pagar ifood loja retirar garçom praticamente forçou adicionar taxa serviço ainda paguei serviço pois buscar péssima experiência comprem arrependimento matasse ter gastado grana nesse horrível jogarem taxa serviço existe desrespeito total péssima experiência comprem desrespeito total tudo passar vou fazer questão menos outback darei prioridade restaurantes passaram momento empatia clientes empresa paga caro ainda atendente empurra serviço realizado pena outback melhor péssimo garçom empurra taxa ifood,2020
3,3,PÉSSIMO HAMBÚRGUER!,"Hambúrguer seco e duro pedido no delivery!! Não peçam, não vale a pena ...cebolas vieram todas misturadas. Parecia uma gororoba!",0,hambúrguer seco duro pedido delivery peçam vale pena cebolas vieram todas misturadas parecia gororoba,péssimo hambúrguer,hambúrguer seco duro pedido delivery peçam vale pena cebolas vieram todas misturadas parecia gororoba péssimo hambúrguer,2020
4,4,"Ambiente frio, sem calor humano",Os funcionários parecem um bando de roborzinho. São bem intencionados más por duas vezes ao repassar o pedido de um atendente a outro o pedido veio errado e o garçom da mesa não se manisfestou em recolher para trocar. Foi minha primeira experiencia com essa...rede e não gostei.Eramos um grupo de 10 pessoas e nem todos saíram satisfeitos.Mais,0,funcionários parecem bando roborzinho bem intencionados más duas vezes repassar pedido atendente outro pedido veio errado garçom mesa manisfestou recolher trocar primeira experiencia rede gostei eramos grupo pessoas todos saíram satisfeitos,ambiente frio calor humano,funcionários parecem bando roborzinho bem intencionados más duas vezes repassar pedido atendente outro pedido veio errado garçom mesa manisfestou recolher trocar primeira experiencia rede gostei eramos grupo pessoas todos saíram satisfeitos ambiente frio calor humano,2020
5,5,Otimo Lugar!!!,"Lugar super descontraído para confraternização entre amigos e um ambiente super aconchegante para reunir a família, garçons super atencioso o atendimento é muito rápido e a comida é ótima. Super indico.",1,lugar super descontraído confraternização amigos ambiente super aconchegante reunir família garçons super atencioso atendimento rápido comida ótima super indico,otimo lugar,lugar super descontraído confraternização amigos ambiente super aconchegante reunir família garçons super atencioso atendimento rápido comida ótima super indico otimo lugar,2020
6,6,Que dia!,"Pedimos um prato Kids e outra para minha esposa e eu. Primeiro veio o Kids, carne mal passada... Devolvemos. Depois chegou o nosso, carne tb mal passada, apesar de ter pedido bem passado. Meu prato veio sujo...devolvemos a carne e o prato sujo. Quando as...carnes voltaram estavam todas bem passadas, então pedi uma bebida, mas não tinham, apesar de estar no cardápio... enfim...Mais",0,pedimos prato kids outra esposa primeiro veio kids carne mal passada devolvemos chegou carne mal passada apesar ter pedido bem passado prato veio sujo devolvemos carne prato sujo carnes voltaram todas bem passadas então pedi bebida apesar estar cardápio enfim,dia,pedimos prato kids outra esposa primeiro veio kids carne mal passada devolvemos chegou carne mal passada apesar ter pedido bem passado prato veio sujo devolvemos carne prato sujo carnes voltaram todas bem passadas então pedi bebida apesar estar cardápio enfim dia,2020
7,7,Chopp maravilhoso! ,Chopp maravilhoso - sempre gelado. O atendimento foi bom mesmo o restaurante estando lotado. Ponto! Porém a comida não tava tão boa. O outback do pier 21 tá melhor.,1,chopp maravilhoso sempre gelado atendimento bom restaurante estando lotado ponto porém comida tava tão boa outback pier melhor,chopp maravilhoso,chopp maravilhoso sempre gelado atendimento bom restaurante estando lotado ponto porém comida tava tão boa outback pier melhor chopp maravilhoso,2020
8,8,Ótima comida,"É um ótimo restaurante e com atendimento super rápido. Eu super indico a costela barbecue, é muito boa.",1,ótimo restaurante atendimento super rápido super indico costela barbecue boa,ótima comida,ótimo restaurante atendimento super rápido super indico costela barbecue boa ótima comida,2019
9,9,Atendimento um horror. Tive,Atendimento um horror. Tive que pedir um chopp 3 vezes. Não trouxeram guardanapos e talheres para os pratos. Tambem tive que insistir muito. Não da para prestigiar um lugar desses.,0,atendimento horror pedir chopp vezes trouxeram guardanapos talheres pratos tambem insistir prestigiar lugar desses,atendimento horror,atendimento horror pedir chopp vezes trouxeram guardanapos talheres pratos tambem insistir prestigiar lugar desses atendimento horror,2019
